iter	Passed	Remaining
0	63	63333
1	63	31869
2	64	21362
3	64	16108
4	65	12960
5	65	10858
6	65	9353
7	66	8226
8	66	7351
9	67	6650
10	67	6075
11	67	5597
12	68	5192
13	68	4846
14	69	4546
15	69	4282
16	70	4050
17	70	3843
18	70	3658
19	71	3491
20	71	3341
21	72	3204
22	72	3079
23	72	2964
24	73	2858
25	73	2761
26	74	2670
27	74	2586
28	74	2508
29	75	2435
30	75	2366
31	76	2302
32	76	2242
33	76	2186
34	77	2132
35	77	2081
36	78	2034
37	78	1989
38	78	1946
39	79	1905
40	79	1866
41	80	1829
42	80	1794
43	81	1760
44	81	1728
45	81	1697
46	82	1668
47	82	1639
48	83	1612
49	83	1586
50	83	1561
51	84	1536
52	84	1513
53	85	1490
54	85	1469
55	85	1448
56	86	1428
57	86	1408
58	87	1390
59	87	1371
60	87	1354
61	88	1337
62	88	1320
63	89	1304
64	89	1288
65	90	1273
66	90	1259
67	90	1244
68	91	1231
69	91	1217
70	92	1204
71	92	1191
72	93	1185
73	93	1173
74	94	1161
75	94	1149
76	94	1138
77	95	1127
78	95	1116
79	96	1106
80	96	1096
81	97	1085
82	97	1073
83	97	1064
84	98	1055
85	98	1046
86	98	1037
87	99	1028
88	99	1020
89	100	1011
90	100	1003
91	100	995
92	101	987
93	101	979
94	102	972
95	102	964
96	102	957
97	103	950
98	103	943
99	104	936
100	104	930
101	104	923
102	105	916
103	105	910
104	106	904
105	106	898
106	106	892
107	107	886
108	107	880
109	108	874
110	108	869
111	108	863
112	109	858
113	109	852
114	110	847
115	110	842
116	110	836
117	111	831
118	111	826
119	112	821
120	112	816
121	112	811
122	113	806
123	113	802
124	113	797
125	114	793
126	114	788
127	115	784
128	115	780
129	115	776
130	116	771
131	116	767
132	117	763
133	117	759
134	117	755
135	118	754
136	119	750
137	119	748
138	120	744
139	120	741
140	121	737
141	121	733
142	121	729
143	122	726
144	122	722
145	122	719
146	123	715
147	123	712
148	124	708
149	124	705
150	124	702
151	125	699
152	125	696
153	126	692
154	126	689
155	126	686
156	127	683
157	127	680
158	128	677
159	128	674
160	128	671
161	129	668
162	129	665
163	129	662
164	130	659
165	130	657
166	131	654
167	131	651
168	131	648
169	132	646
170	132	643
171	133	641
172	133	638
173	133	636
174	134	633
175	134	631
176	135	628
177	135	626
178	136	623
179	136	621
180	136	618
181	137	616
182	137	614
183	137	611
184	138	609
185	138	607
186	139	604
187	139	602
188	139	600
189	140	598
190	140	596
191	141	593
192	141	591
193	141	589
194	142	587
195	142	585
196	143	583
197	143	581
198	143	579
199	144	577
200	144	575
201	145	573
202	145	571
203	145	569
204	146	567
205	146	565
206	147	563
207	147	561
208	147	559
209	148	557
210	148	556
211	149	554
212	149	552
213	149	550
214	150	548
215	150	547
216	151	545
217	151	543
218	151	541
219	152	540
220	152	538
221	153	536
222	153	534
223	153	533
224	154	531
225	154	529
226	155	528
227	155	526
228	155	524
229	156	523
230	156	521
231	157	520
232	157	518
233	157	517
234	158	515
235	158	514
236	159	512
237	159	510
238	159	509
239	160	507
240	160	506
241	161	504
242	161	503
243	161	501
244	162	500
245	162	498
246	163	497
247	163	495
248	163	494
249	164	492
250	164	491
251	165	490
252	165	488
253	165	487
254	166	485
255	166	484
256	167	483
257	167	481
258	167	480
259	168	479
260	168	477
261	169	476
262	169	475
263	169	473
264	170	472
265	170	471
266	171	469
267	171	468
268	171	467
269	172	466
270	172	464
271	173	463
272	173	462
273	173	461
274	174	459
275	174	458
276	175	457
277	175	456
278	176	454
279	176	453
280	176	452
281	177	451
282	177	450
283	178	448
284	178	447
285	178	446
286	179	445
287	179	444
288	180	442
289	180	441
290	180	440
291	181	439
292	181	438
293	182	437
294	182	435
295	182	434
296	183	433
297	183	432
298	184	431
299	184	430
300	184	429
301	185	428
302	185	427
303	186	426
304	186	425
305	187	424
306	187	423
307	187	422
308	188	421
309	188	420
310	189	419
311	189	417
312	189	416
313	190	415
314	190	414
315	191	413
316	191	412
317	191	411
318	192	410
319	192	409
320	193	408
321	193	407
322	193	406
323	194	405
324	194	404
325	195	403
326	195	402
327	195	401
328	196	400
329	196	399
330	197	398
331	197	397
332	198	396
333	198	395
334	198	394
335	199	393
336	199	392
337	200	391
338	200	391
339	200	390
340	201	389
341	201	388
342	202	387
343	202	386
344	203	385
345	203	384
346	203	383
347	204	382
348	204	381
349	205	381
350	205	380
351	206	379
352	206	378
353	206	377
354	207	376
355	207	375
356	208	374
357	208	373
358	208	373
359	209	372
360	209	371
361	210	370
362	210	369
363	211	368
364	211	368
365	211	367
366	212	366
367	212	365
368	213	364
369	213	363
370	214	362
371	214	362
372	214	361
373	215	360
374	215	359
375	216	358
376	216	357
377	217	357
378	217	356
379	217	355
380	218	354
381	218	353
382	219	353
383	219	352
384	219	351
385	220	350
386	220	349
387	221	348
388	221	348
389	222	347
390	222	346
391	222	345
392	223	345
393	223	344
394	224	343
395	224	342
396	225	341
397	225	341
398	225	340
399	226	339
400	226	338
401	227	337
402	227	337
403	228	336
404	228	335
405	228	334
406	229	334
407	229	333
408	230	332
409	230	331
410	230	330
411	231	330
412	231	329
413	232	328
414	232	327
415	233	327
416	233	326
417	233	325
418	234	325
419	234	324
420	235	323
421	235	322
422	236	321
423	236	321
424	236	320
425	237	319
426	237	319
427	238	318
428	238	317
429	239	316
430	239	316
431	239	315
432	240	314
433	240	313
434	241	313
435	241	312
436	241	311
437	242	311
438	242	310
439	243	309
440	243	308
441	244	308
442	244	307
443	244	306
444	245	306
445	245	305
446	246	304
447	246	303
448	247	303
449	247	302
450	247	301
451	248	301
452	248	300
453	249	299
454	249	298
455	250	298
456	250	297
457	250	296
458	251	296
459	251	295
460	252	294
461	252	294
462	252	293
463	253	292
464	253	292
465	254	291
466	254	290
467	255	289
468	255	289
469	255	288
470	256	287
